[54306.914442] page_fault_init module called...
[54309.690667] isgx: [564:0x00007fba91c00000] ECREATE backing=0x7fba917ff000, base = 0x7fba91c00000, size=0x400000
[54309.692538] My page fault: 93595722 91c05000, error_code: 14
[54309.692556] My page fault: 93595722 91e38000, error_code: 4
[54309.692560] My page fault: 93595722 91e32000, error_code: 6
[54309.692569] My page fault: 93595722 91c04000, error_code: 14
[54309.692579] My page fault: 93595722 91c05000, error_code: 14
[54309.692588] My page fault: 93595722 91e1b000, error_code: 4
[54309.692605] My page fault: 93595722 91e32000, error_code: 4
[54309.692614] My page fault: 93595722 91c04000, error_code: 14
[54309.692623] My page fault: 93595722 91c03000, error_code: 14
[54309.692632] My page fault: 93595722 91c05000, error_code: 14
[54309.692642] My page fault: 93595722 91c03000, error_code: 14
[54309.692653] My page fault: 93595722 91e1b000, error_code: 6
[54309.692662] My page fault: 93595722 91c05000, error_code: 14
[54309.692671] My page fault: 93595722 91e32000, error_code: 4
[54309.692680] My page fault: 93595722 91c03000, error_code: 14
[54309.692689] My page fault: 93595722 91c04000, error_code: 14
[54309.692698] My page fault: 93595722 91c00000, error_code: 4
[54309.692707] My page fault: 93595722 91e1a000, error_code: 4
[54309.692716] My page fault: 93595722 91c15000, error_code: 4
[54309.692725] My page fault: 93595722 91e1a000, error_code: 4
[54309.692734] My page fault: 93595722 91e32000, error_code: 6
[54309.692743] My page fault: 93595722 91c00000, error_code: 4
[54309.692753] My page fault: 93595722 91c15000, error_code: 4
[54309.692764] My page fault: 93595722 91c00000, error_code: 4
[54309.692773] My page fault: 93595722 91e19000, error_code: 6
[54309.692782] My page fault: 93595722 91c00000, error_code: 4
[54309.692790] My page fault: 93595722 91c15000, error_code: 4
[54309.692800] My page fault: 93595722 91c00000, error_code: 4
[54309.692809] My page fault: 93595722 91e19000, error_code: 6
[54309.692817] My page fault: 93595722 91c00000, error_code: 4
[54309.692826] My page fault: 93595722 91c15000, error_code: 4
[54309.692835] My page fault: 93595722 91c00000, error_code: 4
[54309.692844] My page fault: 93595722 91e19000, error_code: 6
[54309.692853] My page fault: 93595722 91c00000, error_code: 4
[54309.692862] My page fault: 93595722 91c15000, error_code: 4
[54309.692871] My page fault: 93595722 91c00000, error_code: 4
[54309.692880] My page fault: 93595722 91e19000, error_code: 6
[54309.692888] My page fault: 93595722 91c00000, error_code: 4
[54309.692897] My page fault: 93595722 91c15000, error_code: 4
[54309.692906] My page fault: 93595722 91c00000, error_code: 4
[54309.692915] My page fault: 93595722 91e19000, error_code: 6
[54309.692924] My page fault: 93595722 91c00000, error_code: 4
[54309.692933] My page fault: 93595722 91c15000, error_code: 4
[54309.692942] My page fault: 93595722 91c00000, error_code: 4
[54309.692951] My page fault: 93595722 91e19000, error_code: 6
[54309.692959] My page fault: 93595722 91c00000, error_code: 4
[54309.692968] My page fault: 93595722 91c15000, error_code: 4
[54309.692977] My page fault: 93595722 91c00000, error_code: 4
[54309.692986] My page fault: 93595722 91e19000, error_code: 6
[54309.692995] My page fault: 93595722 91c00000, error_code: 4
[54309.693004] My page fault: 93595722 91c15000, error_code: 4
[54309.693013] My page fault: 93595722 91c00000, error_code: 4
[54309.693021] My page fault: 93595722 91e19000, error_code: 6
[54309.693030] My page fault: 93595722 91c00000, error_code: 4
[54309.693039] My page fault: 93595722 91c15000, error_code: 4
[54309.693048] My page fault: 93595722 91c00000, error_code: 4
[54309.693057] My page fault: 93595722 91e19000, error_code: 6
[54309.693066] My page fault: 93595722 91c00000, error_code: 4
[54309.693075] My page fault: 93595722 91c15000, error_code: 4
[54309.693083] My page fault: 93595722 91c00000, error_code: 4
[54309.693092] My page fault: 93595722 91e19000, error_code: 6
[54309.693101] My page fault: 93595722 91c00000, error_code: 4
[54309.693110] My page fault: 93595722 91c15000, error_code: 4
[54309.693119] My page fault: 93595722 91c00000, error_code: 4
[54309.693128] My page fault: 93595722 91e19000, error_code: 6
[54309.693137] My page fault: 93595722 91c00000, error_code: 4
[54309.693145] My page fault: 93595722 91c15000, error_code: 4
[54309.693154] My page fault: 93595722 91c00000, error_code: 4
[54309.693163] My page fault: 93595722 91e19000, error_code: 6
[54309.693172] My page fault: 93595722 91c00000, error_code: 4
[54309.693181] My page fault: 93595722 91c15000, error_code: 4
[54309.693190] My page fault: 93595722 91c00000, error_code: 4
[54309.693199] My page fault: 93595722 91e19000, error_code: 6
[54309.693207] My page fault: 93595722 91c00000, error_code: 4
[54309.693216] My page fault: 93595722 91c15000, error_code: 4
[54309.693225] My page fault: 93595722 91c00000, error_code: 4
[54309.693234] My page fault: 93595722 91e19000, error_code: 6
[54309.693243] My page fault: 93595722 91c00000, error_code: 4
[54309.693252] My page fault: 93595722 91c15000, error_code: 4
[54309.693261] My page fault: 93595722 91c00000, error_code: 4
[54309.693269] My page fault: 93595722 91e19000, error_code: 6
[54309.693278] My page fault: 93595722 91c00000, error_code: 4
[54309.693287] My page fault: 93595722 91c15000, error_code: 4
[54309.693296] My page fault: 93595722 91c00000, error_code: 4
[54309.693305] My page fault: 93595722 91e19000, error_code: 6
[54309.693314] My page fault: 93595722 91c00000, error_code: 4
[54309.693323] My page fault: 93595722 91c15000, error_code: 4
[54309.693331] My page fault: 93595722 91c00000, error_code: 4
[54309.693340] My page fault: 93595722 91e19000, error_code: 6
[54309.693349] My page fault: 93595722 91c00000, error_code: 4
[54309.693358] My page fault: 93595722 91c15000, error_code: 4
[54309.693367] My page fault: 93595722 91c00000, error_code: 4
[54309.693376] My page fault: 93595722 91e19000, error_code: 6
[54309.693385] My page fault: 93595722 91c00000, error_code: 4
[54309.693393] My page fault: 93595722 91c15000, error_code: 4
[54309.693402] My page fault: 93595722 91c00000, error_code: 4
[54309.693411] My page fault: 93595722 91e19000, error_code: 6
[54309.693420] My page fault: 93595722 91c00000, error_code: 4
[54309.693429] My page fault: 93595722 91c15000, error_code: 4
[54309.693438] My page fault: 93595722 91c00000, error_code: 4
[54309.693447] My page fault: 93595722 91e19000, error_code: 6
[54309.693455] My page fault: 93595722 91c00000, error_code: 4
[54309.693464] My page fault: 93595722 91c15000, error_code: 4
[54309.693473] My page fault: 93595722 91c00000, error_code: 4
[54309.693482] My page fault: 93595722 91e19000, error_code: 6
[54309.693491] My page fault: 93595722 91c00000, error_code: 4
