[54343.785559] page_fault_init module called...
[54347.348161] isgx: [895:0x00007f31e5800000] ECREATE backing=0x7f31e53ff000, base = 0x7f31e5800000, size=0x400000
[54347.353963] My page fault: e70dc722 e5805000, error_code: 14
[54347.354013] My page fault: e70dc722 e5a38000, error_code: 4
[54347.354024] My page fault: e70dc722 e5a32000, error_code: 6
[54347.354050] My page fault: e70dc722 e5804000, error_code: 14
[54347.354076] My page fault: e70dc722 e5805000, error_code: 14
[54347.354101] My page fault: e70dc722 e5a1b000, error_code: 4
[54347.354127] My page fault: e70dc722 e5a32000, error_code: 4
[54347.354152] My page fault: e70dc722 e5804000, error_code: 14
[54347.354177] My page fault: e70dc722 e5803000, error_code: 14
[54347.354203] My page fault: e70dc722 e5805000, error_code: 14
[54347.354228] My page fault: e70dc722 e5803000, error_code: 14
[54347.354253] My page fault: e70dc722 e5a1b000, error_code: 6
[54347.354278] My page fault: e70dc722 e5805000, error_code: 14
[54347.354304] My page fault: e70dc722 e5a32000, error_code: 4
[54347.354329] My page fault: e70dc722 e5803000, error_code: 14
[54347.354355] My page fault: e70dc722 e5804000, error_code: 14
[54347.354380] My page fault: e70dc722 e5800000, error_code: 4
[54347.354405] My page fault: e70dc722 e5a1a000, error_code: 4
[54347.354431] My page fault: e70dc722 e5815000, error_code: 4
[54347.354456] My page fault: e70dc722 e5a1a000, error_code: 4
[54347.354482] My page fault: e70dc722 e5a32000, error_code: 6
[54347.354507] My page fault: e70dc722 e5800000, error_code: 4
[54347.354532] My page fault: e70dc722 e5815000, error_code: 4
[54347.354557] My page fault: e70dc722 e5800000, error_code: 4
[54347.354582] My page fault: e70dc722 e5a19000, error_code: 6
[54347.354607] My page fault: e70dc722 e5800000, error_code: 4
[54347.354632] My page fault: e70dc722 e5815000, error_code: 4
[54347.354658] My page fault: e70dc722 e5800000, error_code: 4
[54347.354683] My page fault: e70dc722 e5a19000, error_code: 6
[54347.354708] My page fault: e70dc722 e5800000, error_code: 4
[54347.354733] My page fault: e70dc722 e5815000, error_code: 4
[54347.354758] My page fault: e70dc722 e5800000, error_code: 4
[54347.354783] My page fault: e70dc722 e5a19000, error_code: 6
[54347.354808] My page fault: e70dc722 e5800000, error_code: 4
[54347.354834] My page fault: e70dc722 e5815000, error_code: 4
[54347.354859] My page fault: e70dc722 e5800000, error_code: 4
[54347.354884] My page fault: e70dc722 e5a19000, error_code: 6
[54347.354909] My page fault: e70dc722 e5800000, error_code: 4
[54347.354934] My page fault: e70dc722 e5815000, error_code: 4
[54347.354959] My page fault: e70dc722 e5800000, error_code: 4
[54347.354984] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355009] My page fault: e70dc722 e5800000, error_code: 4
[54347.355034] My page fault: e70dc722 e5815000, error_code: 4
[54347.355060] My page fault: e70dc722 e5800000, error_code: 4
[54347.355085] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355110] My page fault: e70dc722 e5800000, error_code: 4
[54347.355135] My page fault: e70dc722 e5815000, error_code: 4
[54347.355160] My page fault: e70dc722 e5800000, error_code: 4
[54347.355185] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355210] My page fault: e70dc722 e5800000, error_code: 4
[54347.355241] My page fault: e70dc722 e5815000, error_code: 4
[54347.355276] My page fault: e70dc722 e5800000, error_code: 4
[54347.355312] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355347] My page fault: e70dc722 e5800000, error_code: 4
[54347.355372] My page fault: e70dc722 e5815000, error_code: 4
[54347.355397] My page fault: e70dc722 e5800000, error_code: 4
[54347.355422] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355448] My page fault: e70dc722 e5800000, error_code: 4
[54347.355473] My page fault: e70dc722 e5815000, error_code: 4
[54347.355498] My page fault: e70dc722 e5800000, error_code: 4
[54347.355523] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355548] My page fault: e70dc722 e5800000, error_code: 4
[54347.355573] My page fault: e70dc722 e5815000, error_code: 4
[54347.355598] My page fault: e70dc722 e5800000, error_code: 4
[54347.355623] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355649] My page fault: e70dc722 e5800000, error_code: 4
[54347.355674] My page fault: e70dc722 e5815000, error_code: 4
[54347.355699] My page fault: e70dc722 e5800000, error_code: 4
[54347.355724] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355749] My page fault: e70dc722 e5800000, error_code: 4
[54347.355774] My page fault: e70dc722 e5815000, error_code: 4
[54347.355799] My page fault: e70dc722 e5800000, error_code: 4
[54347.355825] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355850] My page fault: e70dc722 e5800000, error_code: 4
[54347.355875] My page fault: e70dc722 e5815000, error_code: 4
[54347.355900] My page fault: e70dc722 e5800000, error_code: 4
[54347.355925] My page fault: e70dc722 e5a19000, error_code: 6
[54347.355950] My page fault: e70dc722 e5800000, error_code: 4
[54347.355975] My page fault: e70dc722 e5815000, error_code: 4
[54347.356000] My page fault: e70dc722 e5800000, error_code: 4
[54347.356025] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356050] My page fault: e70dc722 e5800000, error_code: 4
[54347.356075] My page fault: e70dc722 e5815000, error_code: 4
[54347.356100] My page fault: e70dc722 e5800000, error_code: 4
[54347.356126] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356151] My page fault: e70dc722 e5800000, error_code: 4
[54347.356176] My page fault: e70dc722 e5815000, error_code: 4
[54347.356201] My page fault: e70dc722 e5800000, error_code: 4
[54347.356226] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356251] My page fault: e70dc722 e5800000, error_code: 4
[54347.356276] My page fault: e70dc722 e5815000, error_code: 4
[54347.356301] My page fault: e70dc722 e5800000, error_code: 4
[54347.356327] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356352] My page fault: e70dc722 e5800000, error_code: 4
[54347.356377] My page fault: e70dc722 e5815000, error_code: 4
[54347.356402] My page fault: e70dc722 e5800000, error_code: 4
[54347.356427] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356452] My page fault: e70dc722 e5800000, error_code: 4
[54347.356477] My page fault: e70dc722 e5815000, error_code: 4
[54347.356502] My page fault: e70dc722 e5800000, error_code: 4
[54347.356528] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356553] My page fault: e70dc722 e5800000, error_code: 4
[54347.356578] My page fault: e70dc722 e5815000, error_code: 4
[54347.356603] My page fault: e70dc722 e5800000, error_code: 4
[54347.356628] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356653] My page fault: e70dc722 e5800000, error_code: 4
[54347.356678] My page fault: e70dc722 e5815000, error_code: 4
[54347.356703] My page fault: e70dc722 e5800000, error_code: 4
[54347.356728] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356754] My page fault: e70dc722 e5800000, error_code: 4
[54347.356779] My page fault: e70dc722 e5815000, error_code: 4
[54347.356804] My page fault: e70dc722 e5800000, error_code: 4
[54347.356829] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356854] My page fault: e70dc722 e5800000, error_code: 4
[54347.356879] My page fault: e70dc722 e5815000, error_code: 4
[54347.356904] My page fault: e70dc722 e5800000, error_code: 4
[54347.356929] My page fault: e70dc722 e5a19000, error_code: 6
[54347.356954] My page fault: e70dc722 e5800000, error_code: 4
[54347.356980] My page fault: e70dc722 e5815000, error_code: 4
[54347.357005] My page fault: e70dc722 e5800000, error_code: 4
[54347.357030] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357055] My page fault: e70dc722 e5800000, error_code: 4
[54347.357080] My page fault: e70dc722 e5815000, error_code: 4
[54347.357105] My page fault: e70dc722 e5800000, error_code: 4
[54347.357130] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357155] My page fault: e70dc722 e5800000, error_code: 4
[54347.357180] My page fault: e70dc722 e5815000, error_code: 4
[54347.357205] My page fault: e70dc722 e5800000, error_code: 4
[54347.357231] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357256] My page fault: e70dc722 e5800000, error_code: 4
[54347.357281] My page fault: e70dc722 e5815000, error_code: 4
[54347.357306] My page fault: e70dc722 e5800000, error_code: 4
[54347.357331] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357356] My page fault: e70dc722 e5800000, error_code: 4
[54347.357381] My page fault: e70dc722 e5815000, error_code: 4
[54347.357406] My page fault: e70dc722 e5800000, error_code: 4
[54347.357431] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357456] My page fault: e70dc722 e5800000, error_code: 4
[54347.357482] My page fault: e70dc722 e5815000, error_code: 4
[54347.357507] My page fault: e70dc722 e5800000, error_code: 4
[54347.357532] My page fault: e70dc722 e5a19000, error_code: 6
[54347.357557] My page fault: e70dc722 e5800000, error_code: 4
[54347.357582] My page fault: e70dc722 e5815000, error_code: 4
[54347.357607] My page fault: e70dc722 e5800000, error_code: 4
[54347.357632] My page fault: e70dc722 e5a19000, error_code: 6
