[55007.327909] page_fault_init module called...
[55011.225374] isgx: [4686:0x00007f6bb4c00000] ECREATE backing=0x7f6bb47ff000, base = 0x7f6bb4c00000, size=0x400000
[55011.227278] My page fault: b653f722 b4c05000, error_code: 14
[55011.227296] My page fault: b653f722 b4e39000, error_code: 4
[55011.227300] My page fault: b653f722 b4e33000, error_code: 6
[55011.227309] My page fault: b653f722 b4c04000, error_code: 14
[55011.227318] My page fault: b653f722 b4c05000, error_code: 14
[55011.227327] My page fault: b653f722 b4e1c000, error_code: 4
[55011.227337] My page fault: b653f722 b4e33000, error_code: 4
[55011.227346] My page fault: b653f722 b4c04000, error_code: 14
[55011.227355] My page fault: b653f722 b4c03000, error_code: 14
[55011.227364] My page fault: b653f722 b4c05000, error_code: 14
[55011.227373] My page fault: b653f722 b4c03000, error_code: 14
[55011.227382] My page fault: b653f722 b4e1c000, error_code: 6
[55011.227391] My page fault: b653f722 b4c05000, error_code: 14
[55011.227400] My page fault: b653f722 b4e33000, error_code: 4
[55011.227409] My page fault: b653f722 b4c03000, error_code: 14
[55011.227418] My page fault: b653f722 b4c04000, error_code: 14
[55011.227427] My page fault: b653f722 b4c00000, error_code: 4
[55011.227436] My page fault: b653f722 b4e1b000, error_code: 4
[55011.227445] My page fault: b653f722 b4c16000, error_code: 4
[55011.227454] My page fault: b653f722 b4e1b000, error_code: 4
[55011.227463] My page fault: b653f722 b4c05000, error_code: 14
[55011.227472] My page fault: b653f722 b4c04000, error_code: 14
[55011.227481] My page fault: b653f722 b4c16000, error_code: 4
[55011.227490] My page fault: b653f722 b4c05000, error_code: 14
[55011.227499] My page fault: b653f722 b4e1b000, error_code: 4
[55011.227508] My page fault: b653f722 b4c04000, error_code: 14
[55011.227517] My page fault: b653f722 b4c16000, error_code: 4
[55011.227527] My page fault: b653f722 b4c05000, error_code: 14
[55011.227535] My page fault: b653f722 b4e1b000, error_code: 4
[55011.227544] My page fault: b653f722 b4c04000, error_code: 14
