[55633.741769] page_fault_init module called...
[55638.830316] isgx: [5283:0x00007f1249000000] ECREATE backing=0x7f1248bff000, base = 0x7f1249000000, size=0x400000
[55638.835219] My page fault: 4aa86722 49005000, error_code: 14
[55638.835266] My page fault: 4aa86722 49239000, error_code: 4
[55638.835277] My page fault: 4aa86722 49233000, error_code: 6
[55638.835300] My page fault: 4aa86722 49004000, error_code: 14
[55638.835324] My page fault: 4aa86722 49005000, error_code: 14
[55638.835348] My page fault: 4aa86722 4921c000, error_code: 4
[55638.835372] My page fault: 4aa86722 49233000, error_code: 4
[55638.835395] My page fault: 4aa86722 49004000, error_code: 14
[55638.835419] My page fault: 4aa86722 49003000, error_code: 14
[55638.835443] My page fault: 4aa86722 49005000, error_code: 14
[55638.835466] My page fault: 4aa86722 49003000, error_code: 14
[55638.835489] My page fault: 4aa86722 4921c000, error_code: 6
[55638.835512] My page fault: 4aa86722 49005000, error_code: 14
[55638.835535] My page fault: 4aa86722 49233000, error_code: 4
[55638.835559] My page fault: 4aa86722 49003000, error_code: 14
[55638.835583] My page fault: 4aa86722 49004000, error_code: 14
[55638.835606] My page fault: 4aa86722 49000000, error_code: 4
[55638.835630] My page fault: 4aa86722 4921b000, error_code: 4
[55638.835653] My page fault: 4aa86722 49016000, error_code: 4
[55638.835677] My page fault: 4aa86722 4921b000, error_code: 4
[55638.835701] My page fault: 4aa86722 49005000, error_code: 14
[55638.835724] My page fault: 4aa86722 49004000, error_code: 14
[55638.835747] My page fault: 4aa86722 49016000, error_code: 4
[55638.835771] My page fault: 4aa86722 49005000, error_code: 14
[55638.835795] My page fault: 4aa86722 4921b000, error_code: 4
[55638.835818] My page fault: 4aa86722 49004000, error_code: 14
[55638.835841] My page fault: 4aa86722 49016000, error_code: 4
[55638.835865] My page fault: 4aa86722 49005000, error_code: 14
[55638.835888] My page fault: 4aa86722 4921b000, error_code: 4
[55638.835912] My page fault: 4aa86722 49004000, error_code: 14
[55638.835935] My page fault: 4aa86722 49016000, error_code: 4
[55638.835959] My page fault: 4aa86722 49005000, error_code: 14
[55638.835982] My page fault: 4aa86722 4921b000, error_code: 4
[55638.836006] My page fault: 4aa86722 49004000, error_code: 14
[55638.836029] My page fault: 4aa86722 49233000, error_code: 6
[55638.836052] My page fault: 4aa86722 49000000, error_code: 4
[55638.836075] My page fault: 4aa86722 49016000, error_code: 4
[55638.836098] My page fault: 4aa86722 49000000, error_code: 4
[55638.836122] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836145] My page fault: 4aa86722 49000000, error_code: 4
[55638.836168] My page fault: 4aa86722 49016000, error_code: 4
[55638.836191] My page fault: 4aa86722 49000000, error_code: 4
[55638.836215] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836238] My page fault: 4aa86722 49000000, error_code: 4
[55638.836261] My page fault: 4aa86722 49016000, error_code: 4
[55638.836284] My page fault: 4aa86722 49000000, error_code: 4
[55638.836308] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836331] My page fault: 4aa86722 49000000, error_code: 4
[55638.836370] My page fault: 4aa86722 49016000, error_code: 4
[55638.836395] My page fault: 4aa86722 49000000, error_code: 4
[55638.836422] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836447] My page fault: 4aa86722 49000000, error_code: 4
[55638.836471] My page fault: 4aa86722 49016000, error_code: 4
[55638.836494] My page fault: 4aa86722 49000000, error_code: 4
[55638.836517] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836540] My page fault: 4aa86722 49000000, error_code: 4
[55638.836564] My page fault: 4aa86722 49016000, error_code: 4
[55638.836587] My page fault: 4aa86722 49000000, error_code: 4
[55638.836610] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836633] My page fault: 4aa86722 49000000, error_code: 4
[55638.836656] My page fault: 4aa86722 49016000, error_code: 4
[55638.836679] My page fault: 4aa86722 49000000, error_code: 4
[55638.836703] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836726] My page fault: 4aa86722 49000000, error_code: 4
[55638.836749] My page fault: 4aa86722 49016000, error_code: 4
[55638.836772] My page fault: 4aa86722 49000000, error_code: 4
[55638.836795] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836818] My page fault: 4aa86722 49000000, error_code: 4
[55638.836841] My page fault: 4aa86722 49016000, error_code: 4
[55638.836864] My page fault: 4aa86722 49000000, error_code: 4
[55638.836887] My page fault: 4aa86722 4921a000, error_code: 6
[55638.836911] My page fault: 4aa86722 49000000, error_code: 4
[55638.836934] My page fault: 4aa86722 49016000, error_code: 4
[55638.836957] My page fault: 4aa86722 49000000, error_code: 4
[55638.836980] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837003] My page fault: 4aa86722 49000000, error_code: 4
[55638.837026] My page fault: 4aa86722 49016000, error_code: 4
[55638.837049] My page fault: 4aa86722 49000000, error_code: 4
[55638.837072] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837095] My page fault: 4aa86722 49000000, error_code: 4
[55638.837118] My page fault: 4aa86722 49016000, error_code: 4
[55638.837141] My page fault: 4aa86722 49000000, error_code: 4
[55638.837164] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837187] My page fault: 4aa86722 49000000, error_code: 4
[55638.837211] My page fault: 4aa86722 49016000, error_code: 4
[55638.837234] My page fault: 4aa86722 49000000, error_code: 4
[55638.837257] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837280] My page fault: 4aa86722 49000000, error_code: 4
[55638.837303] My page fault: 4aa86722 49016000, error_code: 4
[55638.837326] My page fault: 4aa86722 49000000, error_code: 4
[55638.837349] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837372] My page fault: 4aa86722 49000000, error_code: 4
[55638.837396] My page fault: 4aa86722 49016000, error_code: 4
[55638.837419] My page fault: 4aa86722 49000000, error_code: 4
[55638.837442] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837465] My page fault: 4aa86722 49000000, error_code: 4
[55638.837488] My page fault: 4aa86722 49016000, error_code: 4
[55638.837511] My page fault: 4aa86722 49000000, error_code: 4
[55638.837534] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837557] My page fault: 4aa86722 49000000, error_code: 4
[55638.837581] My page fault: 4aa86722 49016000, error_code: 4
[55638.837604] My page fault: 4aa86722 49000000, error_code: 4
[55638.837627] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837650] My page fault: 4aa86722 49000000, error_code: 4
[55638.837673] My page fault: 4aa86722 49016000, error_code: 4
[55638.837696] My page fault: 4aa86722 49000000, error_code: 4
[55638.837719] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837742] My page fault: 4aa86722 49000000, error_code: 4
[55638.837766] My page fault: 4aa86722 49016000, error_code: 4
[55638.837789] My page fault: 4aa86722 49000000, error_code: 4
[55638.837812] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837835] My page fault: 4aa86722 49000000, error_code: 4
[55638.837858] My page fault: 4aa86722 49016000, error_code: 4
[55638.837881] My page fault: 4aa86722 49000000, error_code: 4
[55638.837904] My page fault: 4aa86722 4921a000, error_code: 6
[55638.837927] My page fault: 4aa86722 49000000, error_code: 4
[55638.837950] My page fault: 4aa86722 49016000, error_code: 4
[55638.837974] My page fault: 4aa86722 49000000, error_code: 4
[55638.837997] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838020] My page fault: 4aa86722 49000000, error_code: 4
[55638.838043] My page fault: 4aa86722 49016000, error_code: 4
[55638.838066] My page fault: 4aa86722 49000000, error_code: 4
[55638.838089] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838112] My page fault: 4aa86722 49000000, error_code: 4
[55638.838135] My page fault: 4aa86722 49016000, error_code: 4
[55638.838158] My page fault: 4aa86722 49000000, error_code: 4
[55638.838181] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838204] My page fault: 4aa86722 49000000, error_code: 4
[55638.838228] My page fault: 4aa86722 49016000, error_code: 4
[55638.838251] My page fault: 4aa86722 49000000, error_code: 4
[55638.838274] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838297] My page fault: 4aa86722 49000000, error_code: 4
[55638.838320] My page fault: 4aa86722 49016000, error_code: 4
[55638.838343] My page fault: 4aa86722 49000000, error_code: 4
[55638.838366] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838390] My page fault: 4aa86722 49000000, error_code: 4
[55638.838413] My page fault: 4aa86722 49016000, error_code: 4
[55638.838436] My page fault: 4aa86722 49000000, error_code: 4
[55638.838459] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838482] My page fault: 4aa86722 49000000, error_code: 4
[55638.838505] My page fault: 4aa86722 49016000, error_code: 4
[55638.838528] My page fault: 4aa86722 49000000, error_code: 4
[55638.838551] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838574] My page fault: 4aa86722 49000000, error_code: 4
[55638.838598] My page fault: 4aa86722 49016000, error_code: 4
[55638.838621] My page fault: 4aa86722 49000000, error_code: 4
[55638.838644] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838667] My page fault: 4aa86722 49000000, error_code: 4
[55638.838690] My page fault: 4aa86722 49016000, error_code: 4
[55638.838713] My page fault: 4aa86722 49000000, error_code: 4
[55638.838736] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838759] My page fault: 4aa86722 49000000, error_code: 4
[55638.838783] My page fault: 4aa86722 49016000, error_code: 4
[55638.838806] My page fault: 4aa86722 49000000, error_code: 4
[55638.838829] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838852] My page fault: 4aa86722 49000000, error_code: 4
[55638.838875] My page fault: 4aa86722 49016000, error_code: 4
[55638.838898] My page fault: 4aa86722 49000000, error_code: 4
[55638.838921] My page fault: 4aa86722 4921a000, error_code: 6
[55638.838944] My page fault: 4aa86722 49000000, error_code: 4
[55638.838967] My page fault: 4aa86722 49016000, error_code: 4
[55638.838991] My page fault: 4aa86722 49000000, error_code: 4
[55638.839014] My page fault: 4aa86722 4921a000, error_code: 6
